iter	Passed	Remaining
437	1347	1729
438	1349	1724
439	1350	1719
440	1351	1713
441	1353	1708
442	1354	1703
443	1355	1697
444	1357	1693
445	1359	1688
446	1360	1683
447	1362	1678
448	1363	1673
449	1365	1668
450	1366	1663
451	1367	1658
452	1370	1655
453	1375	1654
454	1376	1648
455	1378	1644
456	1380	1640
457	1383	1637
458	1385	1632
459	1386	1627
460	1389	1624
461	1392	1621
462	1395	1618
463	1396	1613
464	1398	1609
465	1400	1604
466	1401	1600
467	1404	1596
468	1406	1592
469	1409	1589
470	1411	1584
471	1412	1580
472	1414	1575
473	1416	1571
474	1417	1566
475	1418	1561
476	1419	1556
477	1420	1551
478	1422	1546
479	1423	1542
480	1425	1537
481	1427	1534
482	1429	1530
483	1437	1532
484	1444	1533
485	1449	1533
486	1456	1533
487	1457	1528
488	1460	1526
489	1466	1526
490	1468	1522
491	1470	1518
492	1473	1515
493	1475	1511
494	1478	1508
495	1480	1504
496	1483	1501
497	1484	1496
498	1486	1492
499	1489	1489
500	1491	1485
501	1492	1480
502	1493	1475
503	1495	1471
504	1497	1467
505	1498	1463
506	1500	1458
507	1501	1454
508	1502	1449
509	1504	1445
510	1505	1440
511	1507	1436
512	1508	1432
513	1509	1427
514	1511	1423
515	1512	1418
516	1514	1414
517	1515	1410
518	1517	1405
519	1518	1401
520	1519	1396
521	1520	1392
522	1522	1388
523	1523	1384
524	1524	1379
525	1525	1375
526	1528	1371
527	1529	1367
528	1530	1363
529	1531	1358
530	1532	1353
531	1534	1349
532	1535	1345
533	1536	1341
534	1537	1336
535	1539	1332
536	1540	1327
537	1541	1323
538	1542	1319
539	1544	1315
540	1545	1311
541	1546	1306
542	1547	1302
543	1548	1298
544	1550	1294
545	1551	1290
546	1553	1286
547	1554	1282
548	1556	1278
549	1557	1274
550	1558	1270
551	1559	1265
552	1561	1262
553	1562	1258
554	1563	1253
555	1565	1250
556	1566	1246
557	1567	1241
558	1568	1237
559	1569	1233
560	1570	1229
561	1572	1225
562	1573	1221
563	1575	1217
564	1576	1213
565	1577	1209
566	1578	1205
567	1579	1201
568	1580	1197
569	1583	1194
570	1585	1191
571	1586	1187
572	1587	1183
573	1590	1180
574	1592	1177
575	1594	1173
576	1595	1169
577	1598	1166
578	1600	1163
579	1602	1160
580	1603	1156
581	1605	1153
582	1607	1149
583	1608	1145
584	1610	1142
585	1611	1138
586	1613	1135
587	1615	1131
588	1616	1128
589	1618	1124
590	1623	1123
591	1625	1120
592	1626	1116
593	1628	1112
594	1630	1109
595	1631	1105
596	1633	1102
597	1634	1099
598	1637	1096
599	1638	1092
600	1640	1089
601	1643	1086
602	1645	1083
603	1647	1080
604	1649	1076
605	1650	1073
606	1652	1070
607	1653	1066
608	1655	1063
609	1658	1060
610	1660	1057
611	1662	1053
612	1664	1051
613	1666	1047
614	1669	1044
615	1670	1041
616	1672	1038
617	1675	1035
618	1677	1032
619	1679	1029
620	1682	1026
621	1683	1023
622	1685	1019
623	1687	1016
624	1689	1013
625	1691	1010
626	1693	1007
627	1694	1003
628	1697	1000
629	1699	998
630	1701	994
631	1702	991
632	1705	988
633	1706	985
634	1707	981
635	1709	978
636	1712	975
637	1714	972
638	1717	970
639	1719	967
640	1720	963
641	1722	960
642	1725	958
643	1727	955
644	1729	951
645	1730	948
646	1733	945
647	1734	942
648	1736	939
649	1738	936
650	1741	933
651	1742	930
652	1743	926
653	1744	923
654	1746	919
655	1748	916
656	1749	913
657	1750	909
658	1751	906
659	1752	902
660	1753	899
661	1754	896
662	1756	892
663	1757	889
664	1758	885
665	1759	882
666	1761	879
667	1767	878
668	1768	875
669	1770	872
670	1772	868
671	1773	865
672	1774	862
673	1775	858
674	1777	855
675	1780	853
676	1781	849
677	1782	846
678	1784	843
679	1785	840
680	1786	836
681	1788	833
682	1789	830
683	1790	827
684	1791	823
685	1792	820
686	1794	817
687	1795	814
688	1796	810
689	1797	807
690	1798	804
691	1800	801
692	1801	798
693	1802	794
694	1804	791
695	1805	788
696	1806	785
697	1807	782
698	1808	778
699	1809	775
700	1810	772
701	1811	769
702	1813	765
703	1814	762
704	1815	759
705	1816	756
706	1817	753
707	1818	750
708	1819	746
709	1821	743
710	1822	740
711	1823	737
712	1824	734
713	1825	731
714	1826	728
715	1827	724
716	1828	721
717	1829	718
718	1830	715
719	1831	712
720	1832	709
721	1834	706
722	1835	703
723	1836	700
724	1837	696
725	1838	693
726	1839	690
727	1840	687
728	1841	684
729	1842	681
730	1843	678
731	1844	675
732	1846	672
733	1847	669
734	1848	666
735	1849	663
736	1850	660
737	1851	657
