iter	RMSE
129	1529.697916
130	1514.613255
131	1498.303979
132	1481.803946
133	1469.201881
134	1456.263573
135	1443.501473
136	1428.582031
137	1416.082652
138	1403.650331
139	1388.918147
140	1372.161068
141	1357.518659
142	1342.878168
143	1332.493548
144	1320.437266
145	1309.653398
146	1294.667772
147	1279.672108
148	1266.210098
149	1253.651804
150	1244.270374
151	1231.303956
152	1220.703935
153	1212.307785
154	1202.989353
155	1189.323945
156	1178.437073
157	1168.523656
158	1158.994703
159	1147.633302
160	1138.951327
161	1129.781421
162	1119.801077
163	1110.332989
164	1104.506752
165	1097.919762
166	1089.419618
167	1080.918572
168	1071.871761
169	1063.44746
170	1054.418936
171	1047.683125
172	1039.124054
173	1031.448281
174	1023.658871
175	1016.103847
176	1008.704754
177	1003.227154
178	995.4604993
179	987.0241434
180	977.7098777
181	970.9539652
182	962.0637393
183	955.6614197
184	948.1171489
185	941.2872059
186	935.0499205
187	926.3795837
188	920.3642837
189	913.1548015
190	907.1396274
191	902.1051653
192	895.1510002
193	888.1515004
194	882.7483761
195	876.3284198
196	871.0897584
197	864.4187264
198	858.5598254
199	853.3159911
200	848.0030853
201	842.8022159
202	837.4080862
203	833.6184905
204	828.1821423
205	824.7725226
206	820.2386155
207	814.9930182
208	808.9456123
209	802.9291254
210	799.9665837
211	796.3209842
212	791.6404154
213	787.7755184
214	783.1202557
215	779.0853514
216	775.1802461
217	770.3922102
218	765.7568737
219	763.6572306
220	758.974743
221	754.3039562
222	749.751746
223	745.806789
224	741.5537588
225	738.6231902
226	735.0655485
227	730.6507791
228	728.4876549
229	726.1677716
230	721.9493962
231	717.6916277
232	714.190266
233	710.5191912
234	706.8950009
235	703.0890646
236	699.3196165
237	695.7439299
238	693.8895031
239	691.2905837
240	688.8933328
241	686.351186
242	684.2900058
243	681.9381464
244	678.8251768
245	676.3769852
246	674.8096713
247	672.5879798
248	669.2256845
249	667.7389808
250	666.2675118
251	663.9199389
252	662.4836684
253	660.5607151
254	657.6773707
255	654.7429447
256	653.383023
257	650.5893383
258	648.0876324
259	646.0539993
260	644.1947365
261	641.2212182
262	639.5796548
263	635.1863036
264	634.0887743
265	632.9676983
266	632.0248247
267	629.1292366
268	625.6046345
269	622.4457278
270	619.041427
271	615.0481441
272	613.249168
273	610.2467921
274	607.5996362
275	606.576151
276	604.6619455
277	603.7284931
278	602.6865068
279	601.6715036
280	598.0820003
281	597.0514289
282	596.0495418
283	594.8779429
284	593.5504867
285	590.5816711
286	589.6436357
287	588.6351826
288	586.3484248
289	583.1782763
290	582.2164839
291	580.5900475
292	577.5884967
293	576.7598842
294	575.8649561
295	573.006739
296	569.346339
297	568.5748634
298	565.7511593
299	562.510406
300	561.7624018
301	561.0921684
302	557.8344867
303	557.16564
304	555.72817
305	555.0115064
306	554.3668207
307	553.1583748
308	552.4590871
309	549.2244532
310	548.2267323
311	547.5994604
312	545.2274732
313	544.5331881
314	543.9105093
315	543.2899254
316	542.7212316
317	541.7217973
318	540.7394199
319	540.2200115
320	538.8638469
321	538.3600608
322	537.7264805
323	537.1348814
324	536.6563677
325	536.2420407
326	535.0258468
327	533.5925278
328	533.1139241
329	532.6051404
330	532.1069572
331	529.092585
332	527.0676679
333	524.7857097
334	524.1275754
335	523.682577
336	522.623258
337	521.9694042
338	521.5238116
339	519.1646897
340	518.4121037
341	518.01450342	519.016671
343	517.4654303
344	515.1182827
345	514.3513393
346	512.361267
347	510.2654821
348	509.4210357
349	508.7640347
350	507.9136292
351	507.4148181
352	506.2653319
353	505.7910684
354	503.5572148
355	503.0894194
356	502.6300877
357	501.1366272
358	500.1178635
359	497.963295
360	496.1994173
361	494.4244032
362	493.9937533
363	493.452435
364	492.7441441
365	492.1723317
366	491.5893158
367	490.9157111
368	489.3495017
369	488.8642795
370	486.66711
371	486.3039172
372	485.950375
373	485.6044106
374	485.2649204
375	484.8141699
376	484.4837185
377	483.7756129
378	483.1284535
379	481.1965883
380	479.9897354
381	478.4389051
382	478.1084632
383	475.8950529
384	475.4341869
385	474.5600492
386	474.2340454
387	473.9249668
388	472.249158
389	471.9721187
390	471.5487622
391	471.2533507
392	470.9671052
393	468.8428439
394	466.495634
395	466.1040897
396	464.2389278
397	463.953505
398	462.3516935
399	460.5187134
400	460.2585423
401	459.9147152
402	459.6804519
403	457.5587759
404	455.8922578
405	455.5324035
406	452.8333651
407	452.4330671
408	451.2404816
409	450.7009878
410	449.1978434
411	448.1911282
412	446.8858011
413	444.9989897
414	444.7656786
415	443.4276842
416	443.1542536
417	441.6218971
418	441.3974651
419	440.3781824
420	438.7511758
421	437.1564929
422	434.9281388
423	433.6230018
424	432.6909006
425	431.5226506
426	430.6614408
427	429.5660453
428	429.1005437
429	427.918201
430	427.6706755
431	426.0134258
432	425.7114911
433	425.5105781
434	425.2833893
435	424.2016319
436	422.9324166
437	420.9603767
438	419.8468465
439	418.6723102
440	417.6543442
441	416.5133968
442	416.0145433
443	415.8346811
444	415.0325944
445	414.2482755
446	413.3988597
447	412.0362468
448	411.3563288
449	410.3994934
450	409.0451997
451	407.9102162
452	407.1864844
453	405.4850992
454	405.2587174
455	404.0886391
456	402.8039509
457	402.6107033
458	400.9262787
459	399.7030519
460	398.324311
461	396.9470308
462	395.9926584
463	395.0507944
464	394.6923067
465	394.0316647
466	392.8080389
467	391.8645125
468	391.5256047
469	391.1198659
470	389.5258566
471	388.1968739
472	387.9887869
473	387.8316631
474	387.1569318
475	386.0629385
476	384.8864107
477	384.4994958
478	383.8685629
479	383.3611397
480	382.1837338
481	380.7910518
482	379.9892173
483	379.8421806
484	378.6310205
485	377.1863643
486	375.816694
487	375.6167288
488	374.6397332
489	374.3928402
490	374.2002986
491	373.3683444
492	373.2363285
493	372.0094233
494	371.2110941
495	369.9572434
496	369.8211036
497	369.4237217
498	369.2044658
499	368.2666432
500	367.0668706
501	366.406593
502	365.7769416
503	364.7316965
504	363.5419396
505	362.4418222
506	361.6198212
507	361.4953953
508	360.0355687
509	359.6871873
510	358.6063662
511	357.3649619
512	356.6415725
513	356.3268163
514	356.2065732
515	355.425264
516	353.8829628
517	352.6150731
518	352.3925445
519	351.5305801
520	350.7823889
521	350.0402454
522	349.7655698
523	349.5652684
524	348.5535222
525	347.8095439
526	346.7133539
527	345.6140293
528	344.6243226
529	343.0134321
530	342.3117153
531	342.0735805
532	341.3048933
533	340.4760644
534	339.1180299
535	338.2840563
536	337.7495321
537	336.6987347
538	335.6172045
539	334.8657949
540	333.9654908
541	333.0672012
542	332.5570966
543	332.2921604
544	331.2243236
545	330.1719614
546	329.4082479
547	329.1768676
548	329.0741618
549	328.0138605
550	327.2358623
551	326.4452757
552	326.2100831
553	326.087854
554	325.9857547
555	325.895245
556	325.0386637
557	324.2877146
558	323.2596738
559	322.477447
560	321.7836592
561	321.556464
562	320.7649489
563	319.9592472
564	319.7575278
565	318.9150031
566	318.8273916
567	318.724513
568	318.1230496
569	316.9611704
570	316.8838539
571	316.2808995
572	315.2868453
573	313.7983304
574	313.5925814
575	312.8908424
576	311.836503
577	310.7762735
578	309.8714116
579	309.7385383
580	309.6066838
581	308.5472907
582	308.4231763
583	307.7096895
584	307.4780109
585	307.4088069
586	307.3301435
587	306.1789974
588	306.1016839
589	305.8351621
590	304.9017719
591	304.1792323
592	304.0935752
593	303.1542682
594	302.2493618
595	301.5984511
596	300.8748597
597	300.6230252
598	299.8247692
599	299.737543
600	298.6241587
601	297.8271327
602	297.7663151
603	297.6976871
604	297.6492958
605	296.9093703
606	296.2098462
607	295.5396603
608	294.9767215
609	294.3073091
610	293.2355414
611	292.6580871
612	291.917814
613	291.8592846
614	291.1911348
615	290.1840007
616	289.318602
617	288.5665255
618	288.3961695
619	288.3328137
620	287.8276268
621	287.1610891
622	286.5406879
623	285.7959482
624	285.2419382
625	284.6069108
626	284.549192
627	284.4243044
628	283.5168854
629	282.5621906
630	282.0153268
631	281.8318168
632	281.3999736
633	280.7864133
634	280.6354116
635	280.5374695
636	279.916875
637	279.4180557
638	278.9096054
639	278.8017532
640	277.9661164
641	277.8077926
642	277.7602842
643	276.7180284
644	275.9369554
645	275.8504964
646	275.8043322
647	275.6670126
648	274.867268
649	273.8862887
650	273.7444502
651	273.5552019
652	272.4726512
653	271.8607669
654	271.3833183
655	271.336234
656	271.1763921
657	271.1251521
658	270.8848229
659	270.4024709
660	269.9045302
661	269.1143071
662	268.6511978
663	267.9402317
664	267.257635
665	266.8669859
666	266.5755833
667	266.4537027
668	265.8614234
669	265.2164468
670	265.147068
671	265.0657591
672	264.4368366
673	263.451779
674	263.1133935
675	262.3383718
676	261.8882199
677	261.003005
678	260.051173
679	259.5358384
680	259.3139531
681	258.4047696
682	258.0889289
683	258.0209995
684	257.5383924
685	257.4459717
686	257.4010524
687	256.7159283
688	256.1597047
689	255.5615261
690	255.0966286
691	254.6283336
692	254.2612339
693	253.6527218
694	253.0257038
695	252.784375
696	252.2915052
697	251.9744975
698	251.5298628
699	251.0540806
700	250.6785017
701	250.5559376
702	250.517203
703	250.1914202
704	249.7604319
705	249.0045242
706	248.4119536
707	248.0676581
708	247.8814857
709	247.2907758
710	247.2380937
711	246.6044321
712	246.4374326
713	246.3881702
714	245.9416415
715	245.7799657
716	245.1827811
717	244.4986058
718	244.4013175
719	243.8387825
720	243.7810774
721	243.1384798
722	242.8083875
723	242.3299334
724	241.6579889
725	240.9813571
726	240.340701
727	240.2893313
728	239.6260299
729	239.196106
730	238.802682
731	238.7501288
732	238.1391328
733	238.0948423
734	237.2852922
735	236.4968288
736	236.0848434
737	235.9391073
738	235.8791706
739	235.1792548
740	234.7449128
741	234.2546044
742	233.8299531
743	233.4874192
744	233.0793965
745	232.3317256
746	231.8109954
747	231.5101357
748	231.4674518
749	230.8919282
750	230.8425287
751	230.1952988
752	229.8061757
753	229.2396403
754	228.7088264
755	228.2123867
756	227.7018464
757	227.1977202
758	226.7929114
759	226.4071761
760	226.361217
761	225.6876058
762	224.848548
763	224.7131037
764	223.9756424
765	223.7044851
766	223.2587435
767	222.8357226
768	222.4682789
769	221.755348
770	221.2530604
771	221.2050269
772	220.7478534
773	220.6996641
774	220.1391364
775	219.7569774
776	219.3634097
777	219.2236102
778	218.7143746
779	218.1911868
780	217.6526096
781	217.2365721
782	216.8150911
783	216.356921
784	215.9678678
785	215.5145942
786	215.4242844
787	215.1286646
788	214.6704314
789	214.3483761
790	213.7884281
791	213.743799
792	213.4137269
793	213.3712188
794	213.3263747
795	212.9003692
796	212.5118342
797	212.4595114
798	212.3519461
799	211.9960104
800	211.9418286
801	211.5661334
802	211.5256546
803	211.1715592
804	210.9040193
805	210.6386383
806	210.0819367
807	209.7309148
808	209.6493154
809	209.3815477
810	209.0142633
811	208.5161366
812	207.9495977
813	207.4927174
814	207.4573602
815	207.0192908
816	206.4684299
817	205.865706
818	205.6116915
819	205.5767342
820	205.2518085
821	204.9389874
822	204.6143178
823	204.2422269
824	204.1444143
825	204.0480436
826	203.7525008
827	203.2585082
828	202.9272025
829	202.8795057
830	202.7625802
831	202.6901666
832	202.6101908
833	202.5760237
834	202.3090467
835	202.0111874
836	201.5850524
837	201.3974084
838	200.8120044
839	200.450405
840	199.9703853
841	199.6929312
842	199.6562138
843	199.3488102
844	198.8628819
845	198.6679623
846	198.2966789
847	198.1256441
848	197.9904351
849	197.9552552
850	197.8793043
851	197.7912943
852	197.6528364
853	197.6154983
854	197.2253511
855	196.598199
856	196.2314736
857	195.878958
858	195.3395027
859	195.1167509
860	194.6367474
861	194.4468862
862	194.0262403
863	193.7205683
864	193.2092149
865	192.8979122
866	192.7847795
867	192.753834
868	192.6678007
869	192.5667205
870	192.488706
871	192.1331054
872	191.760329
873	191.3745596
874	190.8912828
875	190.4627889
876	190.1017237
877	189.9494017
878	189.8685021
879	189.6080973
880	189.2694196
881	188.8339749
882	188.7996295
883	188.5426215
884	188.192046
885	188.136119
886	187.6985158
887	187.3013653
888	187.0688643
889	186.6947451
890	185.9849069
891	185.6054307
892	185.1288741
893	184.7147636
894	184.4718141
895	184.3773664
896	184.348606
897	184.2529662
898	184.1674047
899	183.9762772
900	183.6809194
901	183.5299092
902	183.2441853
903	182.9289555
904	182.5155157
905	182.2474452
906	181.9906286
907	181.6254022
908	181.4666643
909	181.2045652
910	180.9525321
911	180.9244562
912	180.5932657
913	180.2763839
914	180.2222721
915	180.0727609
916	180.0242667
917	179.6096245
918	179.5800739
919	179.2727189
920	178.9578745
921	178.8924223
922	178.6295299
923	178.3642122
924	178.1442202
925	177.8935967
926	177.7009042
927	177.3690505
928	177.3368615
929	177.294809
930	176.9851479
931	176.6938769
932	176.6386513
933	176.417363
934	176.0957912
935	175.7922123
936	175.6633747
937	175.3514537
938	175.0850881
939	174.7078561
940	174.4060348
941	174.3749573
942	174.2420056
943	173.7472107
944	173.6723479
945	173.580468
946	173.5517169
947	173.2423898
948	173.0809745
949	172.9867959
950	172.7254375
951	172.451016
952	172.2181861
953	171.7201305
954	171.450471
955	171.2329461
956	171.0884986
957	171.0590486
958	170.6448451
959	170.1763271
960	170.1498277
961	170.0261564
962	169.6996579
963	169.4506083
964	169.1022698
965	168.9851487
966	168.5694178
967	168.4508606
968	168.4278683
969	167.9564129
970	167.6956028
971	167.4364961
972	167.1832798
973	167.1598673
974	166.9508006
975	166.8804628
976	166.6066398
977	166.583957
978	166.2547342
979	166.0889155
980	165.8395709
981	165.5788387
982	165.2523631
983	164.9813897
984	164.9144319
985	164.6130135
986	164.3447439
987	163.9673209
988	163.9276762
989	163.6139945
990	163.0505279
991	162.8007519
992	162.5065939
993	162.4605248
994	162.3022416
995	161.7562185
996	161.4481569
997	161.2212125
998	160.9087849
999	160.8269944
	158.5748734
